case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0049,N,ctMSI-CRC-0049-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S066_SZ20190104040WHB-5_gdna_wesplus_19396_S29_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S066_SZ20190104040WHB-5_gdna_wesplus_19396_S29_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0049,T,ctMSI-CRC-0049-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S117_SZ20190107004PES-9_ffpedna_wesplus_20047_S39_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S117_SZ20190107004PES-9_ffpedna_wesplus_20047_S39_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0050,T,ctMSI-CRC-0050-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S136_SZ20190213039PES-f_ffpedna_wesplus_21515_S32_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S136_SZ20190213039PES-f_ffpedna_wesplus_21515_S32_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0050,N,ctMSI-CRC-0050-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S138_SZ20190124020WHB-c_gdna_wesplus_22085_S58_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S138_SZ20190124020WHB-c_gdna_wesplus_22085_S58_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0050,T1,ctMSI-CRC-0050-T1,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S016_SZ20190213038PES-f_ffpedna_wesplus_25383_S16_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S016_SZ20190213038PES-f_ffpedna_wesplus_25383_S16_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0051,N,ctMSI-CRC-0051-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S133_SZ20190117018WHB-3_gdna_wesplus_21853_S56_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S133_SZ20190117018WHB-3_gdna_wesplus_21853_S56_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0051,T,ctMSI-CRC-0051-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S006_SZ20190201236PES-c_ffpedna_wesplus_25737_S60_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S006_SZ20190201236PES-c_ffpedna_wesplus_25737_S60_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0052,N,ctMSI-CRC-0052-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S035_20181114022-e_gdna_wesplus_14910_S12_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S035_20181114022-e_gdna_wesplus_14910_S12_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0052,T,ctMSI-CRC-0052-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S010_SZ20190213029PES-1_ffpedna_wesplus_25741_S3_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S010_SZ20190213029PES-1_ffpedna_wesplus_25741_S3_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0052,T1,ctMSI-CRC-0052-T1,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S059_SZ20190406019PES-d_ffpedna_wesplus_25790_S21_L003_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S059_SZ20190406019PES-d_ffpedna_wesplus_25790_S21_L003_R2_001.fastq.gz,ILM
